"ITEX_name","GBIF_name","SCIENTIFIC_NAME","AUTHOR","STATUS","FAMILY","ACCEPTED_SPECIES","ACCEPTED_AUTHOR","n_sci","one_is_acc","all_unresolved","just_one_syn","one_is_un","non_vasc_typo","SPECIES_NAME","n_occ","N_all","N_bor_tund","N_tund"
"Potentilla rubricaulis","Potentilla rubricaulis","Potentilla rubricaulis","Bourg. ex S.Watson","Unresolved","Rosaceae","Potentilla rubricaulis","Bourg. ex S.Watson",7,TRUE,FALSE,FALSE,TRUE,FALSE,"Potentilla rubricaulis",420,249,226,131
"Potentilla rubricaulis","Potentilla rubricaulis","Potentilla rubricaulis","Jeps.","Unresolved","Rosaceae","Potentilla rubricaulis","Jeps.",7,TRUE,FALSE,FALSE,TRUE,FALSE,"Potentilla rubricaulis",420,249,226,131
"Potentilla rubricaulis","Potentilla rubricaulis","Potentilla rubricaulis","Pall.","Unresolved","Rosaceae","Potentilla rubricaulis","Pall.",7,TRUE,FALSE,FALSE,TRUE,FALSE,"Potentilla rubricaulis",420,249,226,131
"Potentilla rubricaulis","Potentilla rubricaulis","Potentilla rubricaulis","Jord. ex Zimmeter","Unresolved","Rosaceae","Potentilla rubricaulis","Jord. ex Zimmeter",7,TRUE,FALSE,FALSE,TRUE,FALSE,"Potentilla rubricaulis",420,249,226,131
"Potentilla rubricaulis","Potentilla rubricaulis","Potentilla rubricaulis","auct. Fl. Eur.","Synonym","Rosaceae","Potentilla × insularis","Soj k",7,TRUE,FALSE,FALSE,TRUE,FALSE,"Potentilla rubricaulis",420,249,226,131
"Potentilla uniflora","Potentilla uniflora","Potentilla uniflora","Ledeb.","Accepted","Rosaceae","Potentilla uniflora","Ledeb.",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Potentilla uniflora",811,387,375,278
"Potentilla vahliana","Potentilla vahliana","Potentilla vahliana","Lehm.","Accepted","Rosaceae","Potentilla vahliana","Lehm.",2,TRUE,FALSE,FALSE,FALSE,FALSE,"Potentilla vahliana",220,101,99,86
"Potentilla vahliana","Potentilla vahliana","Potentilla vahliana","Juz.","Synonym","Rosaceae","Potentilla subvahliana","Jurtzev",2,TRUE,FALSE,FALSE,FALSE,FALSE,"Potentilla vahliana",220,101,99,86
"Potentilla villosa","Potentilla villosa","Potentilla villosa","Pall. ex Pursh","Accepted","Rosaceae","Potentilla villosa","Pall. ex Pursh",6,TRUE,FALSE,FALSE,TRUE,FALSE,"Potentilla villosa",1033,467,280,138
"Potentilla villosa","Potentilla villosa","Potentilla villosa","(Crantz) Beck","Unresolved","Rosaceae","Potentilla villosa","(Crantz) Beck",6,TRUE,FALSE,FALSE,TRUE,FALSE,"Potentilla villosa",1033,467,280,138
"Potentilla villosa","Potentilla villosa","Potentilla villosa","Haller f. ex Lehm.","Unresolved","Rosaceae","Potentilla villosa","Haller f. ex Lehm.",6,TRUE,FALSE,FALSE,TRUE,FALSE,"Potentilla villosa",1033,467,280,138
