"name","metric","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","cmi_max","cmi_mean","cmi_min","cmi_range","fgd","gdd0","gddlgd0","gdgfgd0","gsl","gsp","gst","ngd0","longitude","latitude"
"Adoxa moschatellina","Q95",10.85,9.4,0.35,1100.92,24.7500000000001,2.15000000000003,38.4,18.7500000000001,15.2500000000001,19.45,5.05000000000001,1517.28,179.3,84.9,43.8,503.46,276.5,448.9,358.02,122.095,55.865,-3.40500000000011,156.165,149,3993.14,357,103,365,1273.12,13.85,365,70.401219999999,58.37388
"Adoxa moschatellina","range",8.89999999999998,4.8,0.161000001430511,684.539999999998,6.80000000000001,18.62,21.2,15.4,24.3,5.36000000000002,16.7,963.58,111.56,61,33.3,313.86,192.02,279.36,267.72,99.2949999999999,75.165,78.3599999999999,85.565,110,1791.3,344,67,202,909.48,5,161,73.188559999999,12.35736
"Adoxa moschatellina","optimum",10.19,6.9,0.315,581.2,22.25,-0.11,22.4,17.13,6.12,17.28,1.5,846.9,81.4,47.8,12.8,234.1,173.3,227,213.5,49.2,-0.6,-51.2,103,120,3749.4,311,82,365,840.9,10.34,365,6.568,50.909
"Agrostis canina","mean",7.78,6.3,0.268,628.2,20.65,-3.25,23.9,10.51,5.66,16.05,-0.01,950.3,110.1,50.3,23.1,304.3,171.3,250.8,230.1,72.6,15.7,-50.8,123.4,115,3047.1,317,79,284,771.9,10.5,314,10.376,54.677
"Agrostis canina","median",8.15000000000003,6.4,0.272000002861023,575.6,20.2500000000001,-1.54999999999995,23.2,10.55,5.55000000000001,15.65,1.15000000000003,869.6,100.8,45.2,23.6,277.2,163.5,234.6,210,62.2,9.4,-52.8,116.8,126,3002.4,325,79,330,770.2,10.65,365,9.0974,55.9337
"Agrostis canina","Q05",2.75000000000006,3.5,0.15900000333786,438.66,16.7500000000001,-11.55,17.3,2.95000000000005,-3.64999999999998,12.95,-7.84999999999997,648.66,75.5,31.8,11.7,213.64,103.1,172,126.1,37.4,-11.9,-92.08,84.42,42,1904.62,295,52,148,400.82,8.45000000000005,208,-1.25054,44.5301
"Agrostis canina","Q95",12.95,8.5,0.358999991416931,882.5,25.15,2.65000000000003,31.3,16.95,19.85,20.05,6.33000000000005,1605.28,190.98,89.1,33.5,531.4,297.3,377.98,427.82,148.84,64.9,-4.61999999999998,185.98,167,4739.3,352,104,365,1329.06,13.45,365,26.43864,63.4415
"Agrostis canina","range",10.2,5,0.199999988079071,443.84,8.39999999999998,14.2,14,14,23.5,7.09999999999997,14.18,956.62,115.48,57.3,21.8,317.76,194.2,205.98,301.72,111.44,76.8,87.46,101.56,125,2834.68,57,52,217,928.240000000001,5,157,27.68918,18.9114
"Agrostis canina","optimum",8.4,6.2,0.232,555.4,20,0.24,21.7,12.73,6.72,15.53,1.6,863.4,87.4,38.7,25,243.4,169.1,229,218.7,51.6,2.1,-54.7,103.8,130,3071.5,334,72,364,859.8,11.31,365,9.047,56.09
"Agrostis capillaris","mean",7.56,5.9,0.258,616.5,20.02,-3.13,23.1,10.8,4.38,15.66,-0.06,935,108.2,48.9,22.8,299.4,167.9,252.9,225.9,69.4,14.8,-48.7,118.1,106,2943.1,311,80,292,139471.1,9.98,321,13.148,54.376
"Agrostis capillaris","median",8.25000000000006,6.1,0.263000011444092,570.5,20.15,-1.34999999999997,22,12.35,3.95000000000005,15.7500000000001,1.25000000000006,844.4,95.6,41.8,22.6,262.5,153.6,231.6,198.5,57.3,7.2,-53.6,111.1,117,3023.8,325,77,340,747.1,9.75000000000006,365,9.7377,56.1191
"Agrostis capillaris","Q05",2.55000000000001,2.7,0.147000002861023,417.26,16.15,-11.85,16.6,2.45000000000005,-3.64999999999998,12.7500000000001,-8.14999999999998,620.76,68.4,31.5,11.1,195.4,102.7,180.8,124.3,30,-16.1,-78.6,83.6,39,1820.24,287,52,144,404.7,8.35000000000002,207,-1.70782,47.13118
"Agrostis capillaris","Q95",10.45,7.9,0.347000002861023,895.68,23.2500000000001,1.65000000000003,31.1,17.05,12.2500000000001,18.05,4.65000000000003,1705.5,206.74,88.6,33.5,577.12,290.22,413.62,456.72,159.74,81.0799999999999,-1.16000000000004,181.14,171,3834.94,352,106,365,1304.04,12.2500000000001,365,29.49932,63.4376
"Agrostis capillaris","range",7.90000000000003,5.2,0.2,478.42,7.10000000000002,13.5,14.5,14.6,15.9,5.29999999999995,12.8,1084.74,138.34,57.1,22.4,381.72,187.52,232.82,332.42,129.74,97.1799999999999,77.44,97.54,132,2014.7,65,54,221,899.339999999999,3.90000000000003,158,31.20714,16.30642
"Agrostis capillaris","optimum",8.39,6,0.279,561,20.03,-0.93,21.5,12.88,6.66,15.68,1.49,873.7,86.5,39.3,20.5,242.3,165.1,228.2,221.9,49,-0.4,-57.2,106.2,124,3069.1,334,72,364,-30.6,8.65,365,9.733,56.124
"Agrostis mertensii","mean",0.05,5.9,0.203,826.1,15.36,-13.9,29.3,8.69,-4.21,11.15,-10.08,1056.2,144.1,50.1,35.2,379.2,165.1,331.1,243.9,90.4,44.1,-17.6,108.1,176,1390.4,290,114,113,9950490.9,8.82,179,15.718,65.644
"Agrostis mertensii","median",0.150000000000034,5.9,0.194000005722046,855.1,15.55,-14.2499999999999,29.9,11.05,-5.44999999999999,11.35,-10.7499999999999,800.7,116.15,38.6,34.4,298.25,126,295,151.8,58.4,26.1,-23.5,81.9,166,1402.95,290,113,122,365.25,9.35000000000002,180,21.78695,67.0834
"Agrostis mertensii","Q05",-2.84999999999997,4.7,0.16599999666214,607.11,11.15,-16.55,22.855,-6.14999999999998,-9.74999999999994,7.65000000000003,-12.35,615.955,93.8,28.3,23.4,246.2,91.9,242.9,97.9,37.2,10,-42.4,65.9,152,832.73,275,98,51,211.955,4.95000000000005,144,5.965,59.461455
"Agrostis mertensii","Q95",2.65000000000003,7,0.25,954.345,19.05,-9.24999999999994,33.1,13.7500000000001,4.65000000000003,13.95,-5.24999999999994,2483.755,307.535,119.4,47.9,830.845,383.145,525.235,752.724999999999,273.535,153.7,31.6449999999999,242.635,231,1857.09,306,132.15,144,753.335,11.05,210,28.81136,69.71305
"Agrostis mertensii","range",5.5,2.3,0.0840000033378601,347.235,7.89999999999998,7.30000000000001,10.245,19.9,14.4,6.30000000000001,7.10000000000002,1867.8,213.735,91.1,24.5,584.645,291.245,282.335,654.824999999999,236.335,143.7,74.0449999999999,176.735,79,1024.36,31,34.1499999999996,93,541.38,6.09999999999997,66,22.84636,10.251595
"Agrostis mertensii","optimum",0.21,6,0.191,928.1,15.74,-14.85,30.8,11.76,-6.11,11.57,-11.43,718.1,107.8,33.9,34,281.9,109.3,281.3,125.2,49.6,22,-27.7,75.2,160,1417.2,290,114,128,-27.2,9.53,182,27.051,68.971
"Agrostis rupestris","mean",0.56,9.1,0.329,676.4,14.66,-13.13,27.8,3.06,-2.87,9.33,-8.03,1718.1,201,94.4,23.2,556.4,322.5,483.5,363.2,130.8,73.5,4.5,126.2,193,1274.7,299,112,108,43238397,7.22,191,7.388,45.332
"Agrostis rupestris","median",0.350000000000023,9.2,0.326999998092651,694.25,14.45,-13.55,28.3,4.05000000000001,-5.34999999999997,9.05000000000001,-8.34999999999997,1716.3,202.5,90.1,19.95,562.4,311.85,459.35,344.95,133.15,74.35,11.25,119.2,193,1176.8,298,116,102,518.9,7.25000000000006,184,6.89755,45.44055
"Agrostis rupestris","Q05",-3.74999999999994,7.905,0.291000008583069,563.8,10.7500000000001,-18.445,24.2,-7.74999999999994,-11.65,5.45000000000005,-13.05,1073.13,120.61,48.8,9.4,328.1,175.41,247.21,195.305,58.405,11.005,-72.19,70.9,134,581.005,276,69,33.55,185.645,3.35000000000002,138,0.201455,42.44549
"Agrostis rupestris","Q95",5.65000000000003,10,0.364000010490418,744.495,19.545,-6.54999999999995,30.4,11.55,11.65,14.05,-1.84999999999997,2428.98,285.3,156.69,44.2,790.395,503.885,779.934999999999,577.7,203.59,134.79,85.89,201.98,249,2293.34,327,140,194,429496729.5,10.7500000000001,266.95,13.624465,47.3
"Agrostis rupestris","range",9.39999999999998,2.095,0.0730000019073487,180.695,8.79499999999994,11.895,6.2,19.3,23.3,8.59999999999997,11.2,1355.85,164.69,107.89,34.8,462.295,328.475,532.724999999999,382.395,145.185,123.785,158.08,131.08,115,1712.335,51,71,160.45,429496543.855,7.40000000000003,128.95,13.42301,4.85451
"Agrostis rupestris","optimum",0.03,9.4,0.349,720.2,14.34,-15.11,28.5,8.16,-6.49,8.91,-9.74,1703.5,208.7,67.8,17.4,593.9,239.3,333.5,251.5,144.7,83.9,32.2,116.2,191,1108.6,297,117,97,-157.7,7.17,181,6.585,46.974
"Agrostis stolonifera","mean",8.57,5.8,0.266,580.2,20.41,-1.45,21.9,11.76,5.24,16.15,1.41,862.4,98.6,45.2,21.9,273.9,158,234.2,204.5,56.5,4,-58.1,114.7,82,3219.2,305,73,327,152120.2,9.77,346,9.454,53.687
"Agrostis stolonifera","median",8.55000000000001,6,0.274000000953674,565.6,20.2500000000001,-0.849999999999966,21.3,12.65,4.95000000000005,15.85,1.65000000000003,813.7,89.8,40.4,20.6,249.6,150.6,218.8,194.4,50.2,-0.3,-60.6,108.3,54,3130.1,329,72,365,770.45,9.25000000000006,365,9.49495,55.5805
"Agrostis stolonifera","Q05",5.15000000000003,2.4,0.145000004768372,411.9,17.45,-9.57499999999996,16.1,4.55000000000001,-1.74999999999994,14.35,-5.64999999999998,607.05,64.3,30.9,11.9,186.1,101.9,167.725,125.8,25.16,-20.8,-83.24,86.3,38,2408.45,22,37,184,431.15,8.35000000000002,235.75,-2.8111,46.585275
"Agrostis stolonifera","Q95",11.05,8.8,0.35,774.75,24.05,2.35000000000002,30.025,17.45,14.45,18.85,5.25000000000006,1454.075,169.6,80.9,32.5,478.95,266.6,391.825,331.95,105,51.24,-9.6,150.8,175.1,4046.55,357,111,365,1152.275,12.85,365,21.621025,59.27295
"Agrostis stolonifera","range",5.89999999999998,6.4,0.204999995231628,362.85,6.59999999999997,11.925,13.925,12.9,16.2,4.5,10.9,847.025,105.3,50,20.6,292.85,164.7,224.1,206.15,79.84,72.04,73.64,64.5,137.1,1638.1,335,74,181,721.125,4.5,129.25,24.432125,12.687675
"Agrostis stolonifera","optimum",8.4,6,0.277,566.2,20.13,-1.18,21.4,12.9,3.64,15.69,1.36,848.4,82.1,39.6,20.3,239.9,149.7,217.6,211.6,48.7,-1.6,-61.8,105.8,48,3083.1,334,71,365,29,8.71,365,9.555,55.896
"Agrostis vinealis","mean",8.02,5.5,0.263,559.2,19.33,-1.81,21.1,9.37,5.32,15.37,1.14,1064.4,124.2,54.8,23.5,343.1,185.4,263.9,275.9,87.7,25.4,-41.5,129.2,108,3051.2,303,74,309,168493.9,9.86,332,8.68,55.636
"Agrostis vinealis","median",8.25000000000006,5.9,0.264000010490417,552.1,19.95,-0.649999999999977,21.4,8.35000000000002,6.25000000000006,15.65,2.05000000000001,898.1,100.7,48.2,24.1,274,172.4,239.2,220,65.6,11.6,-46.9,116.4,116,3028.5,333,71,365,842.9,9.95000000000005,365,7.8388,56.2498
"Agrostis vinealis","Q05",5.05000000000001,2,0.154999995231628,288.5,13.65,-9.04999999999995,10.13,3.05000000000001,-1.44999999999999,11.55,-4.74999999999994,598.6,69.5,30.6,11.6,196.23,98.73,182.43,117.8,28.63,-15.9,-76.9,90.6,45,2243.41,18,50,185,422.23,7.15000000000003,237,-5.43481,50.43252
"Agrostis vinealis","Q95",10.55,7.3,0.346000003814697,798.47,23.05,3.95000000000005,30,17.55,11.52,17.85,5.65000000000003,2277.04,282.97,109.87,33.2,777.01,348.6,442.97,707.67,247.9,129.14,16.9,241.29,159,3849,355,101.15,365,2142.42,11.95,365,24.76261,60.23202
"Agrostis vinealis","range",5.5,5.3,0.191000008583069,509.97,9.39999999999998,13,19.87,14.5,12.97,6.30000000000001,10.4,1678.44,213.47,79.27,21.6,580.78,249.87,260.54,589.87,219.27,145.04,93.8,150.69,114,1605.59,337,51.1499999999999,180,1720.19,4.80000000000001,128,30.19742,9.79950000000001
"Agrostis vinealis","optimum",8.28,6.1,0.32,548.8,20,0.29,21.6,7.09,6.43,15.61,3.14,883.6,84.6,48.6,24.7,245.6,174.9,234.3,223.6,61.7,9,-51.3,103.3,125,3030.9,335,71,365,-11,10.41,365,10.444,56.335
"Ajania tenuifolia","mean",-0.14,12.3,0.342,853.8,15.82,-20.48,36.3,9.39,-9.46,10.51,-11.19,643.1,128.3,6.5,81.8,342.9,27.2,338.3,43.2,26,-26.1,-79.3,105.3,131,1686.1,292,111,146,33038670,8.81,191,94.74,33.304
"Ajania tenuifolia","median",0.100000000000023,12.7,0.3375,873.6,15.7500000000001,-21.3,37.35,10.65,-11.1,10.7500000000001,-11.4,591,113.95,4.65,88.4,316.6,19.05,313.35,20.15,17.4,-30.35,-80.85,103.65,127,1431.65,291,108,138.5,467.15,8.85000000000002,188.5,98.8,32.765
"Ajania tenuifolia","Q05",-10.67,9.735,0.288450011014938,582.085,9.29500000000004,-31.135,27.645,2.25500000000004,-17.66,2.79500000000004,-22.435,317.85,59.79,1.545,44.535,143.47,6.1,143.47,6.4,-24.905,-54.15,-108.66,60.735,48.25,278.72,256.1,44,32.95,77.17,4.24000000000005,81,78.1,29.283665
"Ajania tenuifolia","Q95",10.835,14.255,0.396200003623962,997.345,22.805,-7.11499999999999,40.855,18.46,2.54000000000001,19.27,1.50500000000003,1163.54,227.545,17.75,107.555,643.23,75.145,621.125,166.235,117.92,19.005,-40.15,166.595,219.3,4155.22,336.9,176.9,314.65,429496729.5,13.88,352.4,103.59495,37.3165
"Ajania tenuifolia","range",21.505,4.52,0.107749992609024,415.26,13.51,24.02,13.21,16.205,20.2,16.475,23.94,845.69,167.755,16.205,63.02,499.76,69.045,477.655,159.835,142.825,73.155,68.51,105.86,171.05,3876.5,80.8,132.9,281.7,429496652.33,9.63999999999997,271.4,25.49495,8.032835
"Ajania tenuifolia","optimum",0.52,12.9,0.332,924.2,16.21,-20.88,38.9,11.21,-11.74,11.16,-11.15,501.1,89.8,3.3,90.2,257.6,14,247.7,14.6,17.9,-35.7,-92.5,75.1,124,743.4,295,104,150,-269.6,9.28,191,101.034,32.508
"Ajuga australis","mean",14.12,9.9,0.433,454.1,26.34,3.6,22.7,15.16,14.01,19.85,8.13,796.1,98.6,41.5,26.8,273.4,136.7,220.1,198.5,31.5,-35.2,-104.5,136,26,5140.5,170,228,276,781.2,13.05,364,148.219,-33.942
