"GBIF_name" "SCIENTIFIC_NAME" "AUTHOR" "STATUS" "FAMILY" "ACCEPTED_SPECIES" "ACCEPTED_AUTHOR" "n_sci" "one_is_acc" "all_unresolved" "just_one_syn" "one_is_un" "non_vasc_typo" "SPECIES_NAME" "ITEX_name" "n_occ"
"Argyrotegium fordianum" "Euchiton fordianus" "(M.Gray) P.S.Short" "Synonym" "Compositae" "Argyrotegium fordianum" "(M.Gray) J.M.Ward & Breitw." 1 FALSE FALSE TRUE FALSE FALSE "Argyrotegium fordianum" "Argyrotegium fordianum" 521
"Argyrotegium nitidulum" "Euchiton nitidulus" "(Hook.f.) Anderb." "Synonym" "Compositae" "Argyrotegium nitidulum" "(Hook.f.) J.M.Ward & Breitw." 1 FALSE FALSE TRUE FALSE FALSE "Argyrotegium nitidulum" "Argyrotegium nitidulum" 262
"Armeria maritima" "Armeria maritima" "(Mill.) Willd." "Accepted" "Plumbaginaceae" "Armeria maritima" "(Mill.) Willd." 2 TRUE FALSE FALSE FALSE FALSE "Armeria maritima" "Armeria maritima" 107934
"Armeria maritima" "Armeria maritima" "Girard ex Boiss." "Synonym" "Plumbaginaceae" "Armeria ruscinonensis" "Girard" 2 TRUE FALSE FALSE FALSE FALSE "Armeria maritima" "Armeria maritima" 107934
"Armeria scabra" "Armeria scabra" "Willd." "Accepted" "Plumbaginaceae" "Armeria scabra" "Willd." 3 TRUE FALSE FALSE FALSE FALSE "Armeria scabra" "Armeria scabra" 227
"Armeria scabra" "Armeria scabra" "Kunze ex Boiss." "Synonym" "Plumbaginaceae" "Armeria curvifolia" "Bertero" 3 TRUE FALSE FALSE FALSE FALSE "Armeria scabra" "Armeria scabra" 227
"Armeria scabra" "Armeria scabra" "Pall. ex Schult." "Synonym" "Plumbaginaceae" "Armeria maritima subsp. sibirica" "(Turcz. ex Boiss.) Nyman" 3 TRUE FALSE FALSE FALSE FALSE "Armeria scabra" "Armeria scabra" 227
"Arnica angustifolia" "Arnica alpina" "Willd. ex Steud." "Synonym" "Compositae" "Arnica montana" "L." 3 FALSE FALSE FALSE FALSE FALSE "Arnica angustifolia" "Arnica angustifolia" 4132
"Arnica angustifolia" "Arnica alpina" "(L.) Olin & Ladau" "Synonym" "Compositae" "Arnica angustifolia" "Vahl" 3 FALSE FALSE FALSE FALSE FALSE "Arnica angustifolia" "Arnica angustifolia" 4132
"Arnica angustifolia" "Arnica alpina" "Salisb." "Synonym" "Compositae" "Arnica stricta subsp. alpina" "(L.) I.K.Ferguson" 3 FALSE FALSE FALSE FALSE FALSE "Arnica angustifolia" "Arnica angustifolia" 4132
"Arnica angustifolia" "Arnica angustifolia" "Vahl" "Accepted" "Compositae" "Arnica angustifolia" "Vahl" 3 TRUE FALSE FALSE FALSE FALSE "Arnica angustifolia" "Arnica angustifolia" 4132
"Arnica angustifolia" "Arnica angustifolia" "Turcz. ex Ledeb." "Synonym" "Compositae" "Arnica montana" "L." 3 TRUE FALSE FALSE FALSE FALSE "Arnica angustifolia" "Arnica angustifolia" 4132
