"usageKey","scientificName","canonicalName","rank","status","confidence","matchType","kingdom","phylum","order","family","genus","species","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","synonym","class","acceptedUsageKey","verbatim_name","verbatim_index","verbatim_genus","accepted_name"
3100359,"Podolepis robusta (Maiden & Betche) J.H.Willis","Podolepis robusta","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Asterales","Asteraceae","Podolepis","Podolepis robusta",6,7707728,220,414,3065,3100330,3100359,FALSE,"Magnoliopsida",NA,"Podolepis robusta",961,"Podolepis","Podolepis robusta"
4010802,"Pentachondra pumila (J.R. & G.Forst.) R.Br.","Pentachondra pumila","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Ericales","Ericaceae","Pentachondra","Pentachondra pumila",6,7707728,220,1353,2505,7288472,4010802,FALSE,"Magnoliopsida",NA,"Pentachondra pumila",964,"Pentachondra","Pentachondra pumila"
7268957,"Phebalium squamulosum Vent.","Phebalium squamulosum","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Sapindales","Rutaceae","Phebalium","Phebalium squamulosum",6,7707728,220,933,2396,7268937,7268957,FALSE,"Magnoliopsida",NA,"Phebalium squamulosum",965,"Phebalium","Phebalium squamulosum"
5642976,"Epacris glacialis (F.Muell.) M.Gray","Epacris glacialis","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Ericales","Ericaceae","Epacris","Epacris glacialis",6,7707728,220,1353,2505,5428534,5642976,FALSE,"Magnoliopsida",NA,"Epacris glacialis",966,"Epacris","Epacris glacialis"
5642942,"Epacris gunnii Hook.fil.","Epacris gunnii","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Ericales","Ericaceae","Epacris","Epacris gunnii",6,7707728,220,1353,2505,5428534,5642942,FALSE,"Magnoliopsida",NA,"Epacris gunnii",967,"Epacris","Epacris gunnii"
7286705,"Lycopodium fastigiatum R.Br.","Lycopodium fastigiatum","SPECIES","SYNONYM",99,"EXACT","Plantae","Tracheophyta","Lycopodiales","Lycopodiaceae","Austrolycopodium","Austrolycopodium fastigiatum",6,7707728,245,421,6725,7286594,3991532,TRUE,"Lycopodiopsida",3991532,"Lycopodium fastigiatum",968,"Lycopodium","Austrolycopodium fastigiatum"
5642702,"Epacris paludosa R.Br.","Epacris paludosa","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Ericales","Ericaceae","Epacris","Epacris paludosa",6,7707728,220,1353,2505,5428534,5642702,FALSE,"Magnoliopsida",NA,"Epacris paludosa",969,"Epacris","Epacris paludosa"
2974726,"Hovea montana (Hook.f.) J.H.Ross","Hovea montana","SPECIES","ACCEPTED",94,"FUZZY","Plantae","Tracheophyta","Fabales","Fabaceae","Hovea","Hovea montana",6,7707728,220,1370,5386,2974708,2974726,FALSE,"Magnoliopsida",NA,"Hovea monta",970,"Hovea","Hovea montana"
5405195,"Olearia algida N.A.Wakef.","Olearia algida","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Asterales","Asteraceae","Olearia","Olearia algida",6,7707728,220,414,3065,3148688,5405195,FALSE,"Magnoliopsida",NA,"Olearia algida",971,"Olearia","Olearia algida"
5405393,"Olearia frostii (F.Muell.) J.H.Willis","Olearia frostii","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Asterales","Asteraceae","Olearia","Olearia frostii",6,7707728,220,414,3065,3148688,5405393,FALSE,"Magnoliopsida",NA,"Olearia frostii",972,"Olearia","Olearia frostii"
6026407,"Trachymene humilis (Domin) Benth.","Trachymene humilis","SPECIES","ACCEPTED",95,"FUZZY","Plantae","Tracheophyta","Apiales","Araliaceae","Trachymene","Trachymene humilis",6,7707728,220,1351,8800,6026323,6026407,FALSE,"Magnoliopsida",NA,"Trachymene humulis",974,"Trachymene","Trachymene humilis"
5389182,"Craspedia coolaminica J.Everett & J.Thomps.","Craspedia coolaminica","SPECIES","SYNONYM",99,"EXACT","Plantae","Tracheophyta","Asterales","Asteraceae","Craspedia","Craspedia gracilis",6,7707728,220,414,3065,7978779,5389178,TRUE,"Magnoliopsida",5389178,"Craspedia coolaminica",976,"Craspedia","Craspedia gracilis"
