"usageKey","scientificName","canonicalName","rank","status","confidence","matchType","kingdom","phylum","order","family","genus","species","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","class","acceptedUsageKey","synonym","verbatim_name","verbatim_index","verbatim_genus","accepted_name"
5390790,"Gnaphalium supinum L.","Gnaphalium supinum","SPECIES","SYNONYM",98,"EXACT","Plantae","Tracheophyta","Asterales","Asteraceae","Omalotheca","Omalotheca supina",6,7707728,220,414,3065,8214135,3104537,"Magnoliopsida",3104537,NA,"Gnaphalium supinum",10,"Gnaphalium","Omalotheca hoppeana"
7907433,"Gnaphalium supinum Hoppe","Gnaphalium supinum","SPECIES","SYNONYM",98,"EXACT","Plantae","Tracheophyta","Asterales","Asteraceae","Omalotheca","Omalotheca hoppeana",6,7707728,220,414,3065,8214135,3103058,"Magnoliopsida",3103058,NA,"Gnaphalium supinum",10,"Gnaphalium","Omalotheca hoppeana"
11712853,"Lophozia lantratovae Bakalin","Lophozia lantratovae","SPECIES","ACCEPTED",-71,"FUZZY","Plantae","Marchantiophyta","Jungermanniales","Lophoziaceae","Lophozia","Lophozia lantratovae",6,9,126,381,3229887,2689209,11712853,"Jungermanniopsida",NA,NA,"Lophozia Lophozia",11,"Lophozia",NA
7452276,"Lophozia lantratoviae Bakalin","Lophozia lantratoviae","SPECIES","ACCEPTED",-71,"FUZZY","Plantae","Marchantiophyta","Jungermanniales","Lophoziaceae","Lophozia","Lophozia lantratoviae",6,9,126,381,3229887,2689209,7452276,"Jungermanniopsida",NA,NA,"Lophozia Lophozia",11,"Lophozia",NA
7990122,"Lophozia macrocolea Spruce","Lophozia macrocolea","SPECIES","ACCEPTED",-71,"FUZZY","Plantae","Marchantiophyta","Jungermanniales","Lophoziaceae","Lophozia","Lophozia macrocolea",6,9,126,381,3229887,2689209,7990122,"Jungermanniopsida",NA,NA,"Lophozia Lophozia",11,"Lophozia",NA
7509206,"Lophozia schusterana Schljakov","Lophozia schusterana","SPECIES","ACCEPTED",-71,"FUZZY","Plantae","Marchantiophyta","Jungermanniales","Lophoziaceae","Lophozia","Lophozia schusterana",6,9,126,381,3229887,2689209,7509206,"Jungermanniopsida",NA,NA,"Lophozia Lophozia",11,"Lophozia",NA
9623301,"Lophozia schusteriana Schljakov","Lophozia schusteriana","SPECIES","ACCEPTED",-71,"FUZZY","Plantae","Marchantiophyta","Jungermanniales","Lophoziaceae","Lophozia","Lophozia schusteriana",6,9,126,381,3229887,2689209,9623301,"Jungermanniopsida",NA,NA,"Lophozia Lophozia",11,"Lophozia",NA
4277247,"Lophozia silvicola H.Buch","Lophozia silvicola","SPECIES","ACCEPTED",-71,"FUZZY","Plantae","Marchantiophyta","Jungermanniales","Lophoziaceae","Lophozia","Lophozia silvicola",6,9,126,381,3229887,2689209,4277247,"Jungermanniopsida",NA,NA,"Lophozia Lophozia",11,"Lophozia",NA
8001314,"Lophozia subdichotoma Spruce","Lophozia subdichotoma","SPECIES","ACCEPTED",-71,"FUZZY","Plantae","Marchantiophyta","Jungermanniales","Lophoziaceae","Lophozia","Lophozia subdichotoma",6,9,126,381,3229887,2689209,8001314,"Jungermanniopsida",NA,NA,"Lophozia Lophozia",11,"Lophozia",NA
7932783,"Lophozia tenuicula Spruce","Lophozia tenuicula","SPECIES","ACCEPTED",-71,"FUZZY","Plantae","Marchantiophyta","Jungermanniales","Lophoziaceae","Lophozia","Lophozia tenuicula",6,9,126,381,3229887,2689209,7932783,"Jungermanniopsida",NA,NA,"Lophozia Lophozia",11,"Lophozia",NA
4277263,"Lophozia alboviridis R.M.Schust.","Lophozia alboviridis","SPECIES","SYNONYM",-72,"FUZZY","Plantae","Marchantiophyta","Jungermanniales","Anastrophyllaceae","Isopaches","Isopaches alboviridis",6,9,126,381,2292,2689434,2689437,"Jungermanniopsida",2689437,NA,"Lophozia Lophozia",11,"Lophozia",NA
12301969,"Lophozia anomala R.M.Schust.","Lophozia anomala","SPECIES","SYNONYM",-72,"FUZZY","Plantae","Marchantiophyta","Jungermanniales","Cephaloziellaceae","Protolophozia","Protolophozia longiflora",6,9,126,381,2287,2689198,9522709,"Jungermanniopsida",9522709,NA,"Lophozia Lophozia",11,"Lophozia",NA
8437591,"Lophozia arctica S.W.Arnell","Lophozia arctica","SPECIES","SYNONYM",-72,"FUZZY","Plantae","Marchantiophyta","Jungermanniales","Jungermanniaceae","Mesoptychia","Mesoptychia heterocolpos",6,9,126,381,6136,2689389,8774925,"Jungermanniopsida",9622397,NA,"Lophozia Lophozia",11,"Lophozia",NA
12277424,"Lophozia bidens Mitt.","Lophozia bidens","SPECIES","SYNONYM",-72,"FUZZY","Plantae","Marchantiophyta","Jungermanniales","Lophoziaceae","Andrewsianthus","Andrewsianthus bidens",6,9,126,381,3229887,2689226,7442903,"Jungermanniopsida",7442903,NA,"Lophozia Lophozia",11,"Lophozia",NA
8313303,"Lophozia boliviensis Steph.","Lophozia boliviensis","SPECIES","SYNONYM",-72,"FUZZY","Plantae","Marchantiophyta","Jungermanniales","Scapaniaceae","Schistochilopsis","Schistochilopsis boliviensis",6,9,126,381,6129,2689178,12253807,"Jungermanniopsida",12253807,NA,"Lophozia Lophozia",11,"Lophozia",NA
