"SCIENTIFIC_NAME","AUTHOR","STATUS","FAMILY","ACCEPTED_SPECIES","ACCEPTED_AUTHOR","n_sci","one_is_acc","all_unresolved","just_one_syn","one_is_un","non_vasc_typo","SPECIES_NAME"
"Carex atrofusca","Willd. ex Steud.","Synonym","Cyperaceae","Carex pichinchensis","Kunth",3,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex atrofusca"
"Carex bigelowii","Torr. ex Schwein.","Accepted","Cyperaceae","Carex bigelowii","Torr. ex Schwein.",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex bigelowii"
"Carex brunnescens","(Pers.) Poir.","Accepted","Cyperaceae","Carex brunnescens","(Pers.) Poir.",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex brunnescens"
"Carex canescens","L.","Accepted","Cyperaceae","Carex canescens","L.",3,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex canescens"
"Carex canescens","Huds.","Synonym","Cyperaceae","Carex divulsa","Stokes",3,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex canescens"
"Carex canescens","Leers","Synonym","Cyperaceae","Carex leersii","F.W.Schultz",3,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex canescens"
"Carex capillaris","L.","Accepted","Cyperaceae","Carex capillaris","L.",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex capillaris"
"Carex capitata","Sol.","Accepted","Cyperaceae","Carex capitata","Sol.",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex capitata"
"Carex chordorrhiza","L.f.","Accepted","Cyperaceae","Carex chordorrhiza","L.f.",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex chordorrhiza"
"Carex dioica","L.","Accepted","Cyperaceae","Carex dioica","L.",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex dioica"
"Carex flacca","Schreb.","Accepted","Cyperaceae","Carex flacca","Schreb.",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex flacca"
"Carex fuliginosa","Schkuhr","Accepted","Cyperaceae","Carex fuliginosa","Schkuhr",2,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex fuliginosa"
"Carex fuliginosa","Host","Synonym","Cyperaceae","Carex fimbriata","Schkuhr",2,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex fuliginosa"
"Carex gynocrates","Wormsk.","Accepted","Cyperaceae","Carex gynocrates","Wormsk.",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex gynocrates"
"Carex krausei","Boeckeler","Accepted","Cyperaceae","Carex krausei","Boeckeler",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex krausei"
"Carex lachenalii","Schkuhr","Accepted","Cyperaceae","Carex lachenalii","Schkuhr",1,TRUE,FALSE,FALSE,FALSE,FALSE,"Carex lachenalii"
