Species;STI;STIsd
Luzula pilosa;6.595453647;3.620182051
Phegopteris connectilis;6.158208769;3.611695417
Pyrola media;5.902506399;2.908438291
Sagittaria sagittifolia;7.599018249;3.188122691
Linaria vulgaris;7.434954361;3.612340576
Pyrola minor;6.629009057;3.717415714
Vaccinium vitis-idaea;6.077170627;3.552204169
Cicuta virosa;6.819995749;2.933466087
Lysimachia nummularia;8.742212099;2.290962508
Geranium pratense;7.270227677;2.548679306
Saussurea alpina;2.368006937;3.82745232
Carex pauciforia;3.217626574;3.215265539
Cirsium helenoides;4.063908479;3.591165417
Trientalis europaea;5.138350498;3.363579624
Lathyrus sylvestris;8.456741708;2.642944877
Adoxa moschatellina;7.784013698;2.81747983
Vicia tetrasperma;9.070099764;2.977020149
Arctium lappa;9.004458586;2.576621528
Cerastium semidecandrum;9.07016604;2.823380169
Epilobium adenocaulon;6.74988298;2.447011093
Geranium pusillum;8.654557079;2.35507032
Calamagrostis epigejos;8.225437511;3.722716657
Potentilla argentea;8.245987924;3.668839619
Carex magellanica;3.865969862;3.525062478
Orthilia secunda;5.833838842;3.698241215
Sambucus racemosa;7.260143146;2.788912226
Eleocharis uniglumis;7.907648644;2.955427059
Goodyera repens;5.581182573;3.46260845
Dryopteris expansa;4.752906075;3.414032606
Viola biflora;5.599554463;4.830303406
Veronica verna;7.404651279;2.738923079
Veronica spicata;8.458229092;2.234104141
Lathyrus tuberosus;9.559205566;2.357917138
Isatis tinctoria;9.926677278;2.610659305
Gagea lutea;8.21962615;2.885819276
Viola hirta;9.271764043;2.627312237
Hepatica nobilis;7.706522329;2.756685414
Myosotis sylvatica;9.400039366;2.754886349
Crataegus laevigata;9.796208197;2.6011289
Pulsatilla vernalis;5.853659142;3.134778193
Anemone ranunculoides;8.387634106;2.430357721
Myosurus minimus;8.605761782;3.064001975
Carex elongata;7.621805342;2.664004249
Camelina sativa;8.897485398;2.543178613
Fallopia dumetorum;8.794531517;2.943529987
Galeopsis ladanum;8.471332954;2.734846897
Hypericum hirsutum;9.117704365;2.733337048
Salix viminalis;10.3381383;1.650486355
Verbascum nigrum;8.385267954;2.729097489
Rhinanthus serotinus;7.587275294;2.673583032
Euphrasia stricta;7.393242847;3.421684846
Tilia cordata;8.341239205;2.855794344
Acer platanoides;8.084199933;2.765635383
Astragalus alpinus;2.192481782;4.02729998
Cardamine amara;7.640971583;2.698888318
Allium oleraceum;8.31639228;2.605404248
Fragaria viridis;8.859346323;2.929817316
Acer negundo;8.886567265;2.157236224
Corydalis solida;8.894967539;2.778621761
Galanthus nivalis;10.19931623;2.849447439
Euphorbia cyparissias;9.297867224;2.418236724
Salix fragilis;8.486475343;1.993336005
Inula salicina;8.781214375;2.658431316
Melampyrum cristatum;8.769500316;2.261103957
Trifolium aureum;7.763475193;2.640984858
Cotoneaster integerrimus;8.31105932;3.367834733
Cystopteris montana;3.768105059;4.709984159
Callitriche palustris;6.080617462;3.635071273
Campanula rapunculoides;7.911916018;2.585448917
Cicerbita alpina;4.696895931;3.98282621
Delphinium consolida;8.921726797;2.755938483
Pyrola chlorantha;5.964969757;3.051874869
Trifolium spadiceum;6.271066636;2.420055564
Dianthus superbus;7.953277269;2.919108072
Fritillaria meleagris;8.970890134;2.164635567
Impatiens noli tangere;7.746943023;2.7803029
Lonicera xylosteum;7.712532407;2.784745689
Cardamine bulbifera;8.853869951;2.595933126
Muscari botryoides;10.13254741;2.84031297
Spergula morisonii;8.307108024;2.755900917
Petasites hybridus;9.513664007;2.264071313
Melampyrum arvense;9.309604917;2.346561884
Circaea alpina;6.389515192;3.184229203
Bunias orientalis;7.56395749;2.563788227
Peucedanum palustre;6.670884548;3.045269377
Crambe maritima;8.522873749;1.493867074
Viscaria vulgaris;7.429381421;2.619507896
Melica nutans;7.066981311;4.043221531
Pyrola rotundifolia;6.009294195;3.427570374
Daphne mezereum;6.671795668;3.600999401
Impatiens parviflora;8.256708618;1.924589559
Allium scorodoprasum;8.884762081;1.949404126
Geranium sylvaticum;5.960217528;3.712940906
Primula farinosa;6.42191403;1.969488617
Carex aquatilis;1.05178199;2.55282249
Cardaminopsis arenosa;7.473159641;2.643942299
Calamagrostis canescens;6.194273743;2.997283979
Potentilla norvegica;5.633373168;2.526426712
Campanula persicifolia;7.966673709;2.658782497
Caragana arborescens;10.08954167;0.143248049
Pinguicula alpina;4.230360556;5.138969424
Polemonium caeruleum;5.368238891;3.008012539
Draba nemorosa;7.549701293;2.39389046
Allium schoenoprasum;7.119266764;3.21638861
Polygala amarella;7.553389435;2.127683036
Anthemis tinctoria;8.246181898;3.43365598
Carduus crispus;6.830588171;3.405609734
Maianthemum bifolium;6.198712862;3.374843247
Alchemilla glaucescens;7.341022695;2.730523671
Arctium tomentosum;7.738933563;2.438884144
Carex digitata;6.602076032;3.227784191
Erysimum odoratum;9.791600496;2.05632171
Poa palustris;6.363920909;3.299250256
Alchemilla subcrenata;5.932486546;3.249758044
Cypripedium calceolus;7.028635704;2.665493765
Moneses uniflora;5.653035167;3.707186384
Viola stagnina;8.086491626;1.838837882
Alchemilla monticola;6.809444492;3.153710635
Fragaria moschata;7.866829944;2.193464493
Rosa majalis;5.169401399;2.852499489
Calamagrostis arundinacea;7.184343351;2.552238713
Crepis tectorum;6.438202951;3.469326397
Arctous alpina;2.665738226;4.067493692
Epilobium collinum;5.904953483;3.738016649
Larix decidua;7.623469689;3.357261124
Tofieldia calyculata;7.835977143;2.018532991
Corydalis intermedia;6.591171037;2.691356627
Dryopteris cristata;7.042766815;1.853748593
Hypochaeris maculata;7.319516466;2.894828356
Lilium bulbiferum;9.212693391;3.530156301
Picea abies;4.797227557;3.274526556
Primula auricula;8.441947045;3.747166655
Pulmonaria officinalis;7.84838359;2.044294257
Dactylorhiza sambucina;6.016653497;2.634105476
Eleocharis mamillata;6.381741197;2.693782559
Gagea minima;7.346233481;2.297393672
Scheuchzeria palustris;5.186171604;2.712372119
Linum perenne;9.16508358;2.25291257
Calla palustris;6.084924634;2.897737277
Lysimachia thyrsiflora;5.202127297;2.990674291
Rumex thyrsiflorus;7.871423352;1.980681051
Berteroa incana;7.178050539;3.137529507
Pulmonaria obscura;7.55854359;1.947528174
Carex cespitosa;5.798984116;3.369774468
Thymus serpyllum;6.776690437;1.778978596
Veronica longifolia;6.020319804;3.302393612
Crepis praemorsa;7.424269713;1.811871633
Nymphaea candida;5.575464687;2.809649562
Botrychium multifidum;5.501673584;3.08249935
Viola mirabilis;6.686208815;3.178893308
Lathyrus vernus;8.015594425;2.641067748
Astragalus frigidus;3.043409898;4.649402218
Matteuccia struthiopteris;5.031534119;3.740745275
Carex buxbaumii;5.556901274;3.463468453
